capture,frame,epoch,emm_type,id_type,emm_cause,mcc,mnc,cipher,integrity
C1,188,1893589773.100,0x56,,,310,240,,
C1,189,1893589862.000,0x55,1,,,,,
C1,190,1893589863.100,0x56,,,310,240,,
C1,191,1893589952.000,0x55,1,,,,,
C1,192,1893589953.100,0x56,,,310,240,,
C1,193,1893590042.000,0x55,1,,,,,
C1,194,1893590043.100,0x56,,,310,240,,
C1,195,1893590132.000,0x55,1,,,,,
C1,196,1893590133.100,0x56,,,310,240,,
C1,197,1893590225.000,0x44,,15,,,,
C1,198,1893590250.000,0x5d,,,311,480,2,2
C1,199,1893599460.000,0x55,2,,,,,
C1,200,1893599461.200,0x56,,,310,240,,
C1,201,1893599462.000,0x55,1,,,,,
C1,202,1893599463.100,0x56,,,310,240,,
C1,203,1893599580.000,0x55,2,,,,,
C1,204,1893599581.200,0x56,,,310,240,,
C1,205,1893599582.000,0x55,1,,,,,
C1,206,1893599583.100,0x56,,,310,240,,
C1,207,1893599700.000,0x55,2,,,,,
C1,208,1893599701.200,0x56,,,310,240,,
C1,209,1893599702.000,0x55,1,,,,,
C1,210,1893599703.100,0x56,,,310,240,,
C1,211,1893599820.000,0x55,2,,,,,
C1,212,1893599821.200,0x56,,,310,240,,
C1,213,1893599822.000,0x55,1,,,,,
C1,214,1893599823.100,0x56,,,310,240,,
C1,215,1893599940.000,0x55,2,,,,,
C1,216,1893599941.200,0x56,,,310,240,,
C1,217,1893599942.000,0x55,1,,,,,
C1,218,1893599943.100,0x56,,,310,240,,
C1,219,1893600062.000,0x55,1,,,,,
C1,220,1893600063.100,0x56,,,310,240,,
C1,221,1893600182.000,0x55,1,,,,,
C1,222,1893600183.100,0x56,,,310,240,,
C1,223,1893600302.000,0x55,1,,,,,
C1,224,1893600303.100,0x56,,,310,240,,
C1,225,1893600422.000,0x55,1,,,,,
C1,226,1893600423.100,0x56,,,310,240,,
C1,227,1893600542.000,0x55,1,,,,,
C1,228,1893600543.100,0x56,,,310,240,,
C1,229,1893600662.000,0x55,1,,,,,
C1,230,1893600663.100,0x56,,,310,240,,
C1,231,1893600782.000,0x55,1,,,,,
C1,232,1893600783.100,0x56,,,310,240,,
C1,233,1893600905.000,0x44,,15,,,,
C1,234,1893600930.000,0x5d,,,311,480,2,2
C1,235,1893607200.000,0x48,,,311,480,,
C1,236,1893607201.000,0x5d,,,311,480,2,2
C1,237,1893607202.000,0x49,,,,,,
C1,238,1893609000.000,0x48,,,311,480,,
C1,239,1893609001.000,0x5d,,,311,480,2,2
C1,240,1893609002.000,0x49,,,,,,
C1,241,1893610800.000,0x48,,,311,480,,
C1,242,1893610801.000,0x5d,,,311,480,2,2
C1,243,1893610802.000,0x49,,,,,,
C1,244,1893612600.000,0x48,,,311,480,,
C1,245,1893612601.000,0x5d,,,311,480,2,2
C1,246,1893612602.000,0x49,,,,,,
C1,247,1893614400.000,0x48,,,311,480,,
C1,248,1893614401.000,0x5d,,,311,480,2,2
C1,249,1893614402.000,0x49,,,,,,
C1,250,1893616200.000,0x48,,,311,480,,
C1,251,1893616201.000,0x5d,,,311,480,2,2
C1,252,1893616202.000,0x49,,,,,,
C1,253,1893618000.000,0x48,,,311,480,,
C1,254,1893618001.000,0x5d,,,311,480,2,2
C1,255,1893618002.000,0x49,,,,,,
C1,256,1893619800.000,0x48,,,311,480,,
C1,257,1893619801.000,0x5d,,,311,480,2,2
C1,258,1893619802.000,0x49,,,,,,
C1,259,1893621600.000,0x48,,,311,480,,
C1,260,1893621601.000,0x5d,,,311,480,2,2
C1,261,1893621602.000,0x49,,,,,,
C1,262,1893623400.000,0x48,,,311,480,,
C1,263,1893623401.000,0x5d,,,311,480,2,2
C1,264,1893623402.000,0x49,,,,,,
C1,265,1893625200.000,0x48,,,311,480,,
C1,266,1893625201.000,0x5d,,,311,480,2,2
C1,267,1893625202.000,0x49,,,,,,
C1,268,1893627000.000,0x48,,,311,480,,
C1,269,1893627001.000,0x5d,,,311,480,2,2
C1,270,1893627002.000,0x49,,,,,,
C1,271,1893628800.000,0x48,,,311,480,,
C1,272,1893628801.000,0x5d,,,311,480,2,2
C1,273,1893628802.000,0x49,,,,,,
C1,274,1893630600.000,0x48,,,311,480,,
C1,275,1893630601.000,0x5d,,,311,480,2,2
C1,276,1893630602.000,0x49,,,,,,
C1,277,1893632400.000,0x48,,,311,480,,
C1,278,1893632401.000,0x5d,,,311,480,2,2
C1,279,1893632402.000,0x49,,,,,,
C1,280,1893634200.000,0x48,,,311,480,,
C1,281,1893634201.000,0x5d,,,311,480,2,2
C1,282,1893634202.000,0x49,,,,,,
C1,283,1893636000.000,0x48,,,311,480,,
C1,284,1893636001.000,0x5d,,,311,480,2,2
C1,285,1893636002.000,0x49,,,,,,
C1,286,1893637800.000,0x48,,,311,480,,
C1,287,1893637801.000,0x5d,,,311,480,2,2
C1,288,1893637802.000,0x49,,,,,,
C1,289,1893639600.000,0x48,,,311,480,,
C1,290,1893639601.000,0x5d,,,311,480,2,2
C1,291,1893639602.000,0x49,,,,,,
C1,292,1893641400.000,0x48,,,311,480,,
C1,293,1893641401.000,0x5d,,,311,480,2,2
C1,294,1893641402.000,0x49,,,,,,
C1,295,1893643200.000,0x48,,,311,480,,
C1,296,1893643201.000,0x5d,,,311,480,2,2
C1,297,1893643202.000,0x49,,,,,,
C1,298,1893645000.000,0x48,,,311,480,,
C1,299,1893645001.000,0x5d,,,311,480,2,2
C1,300,1893645002.000,0x49,,,,,,
C1,301,1893646800.000,0x48,,,311,480,,
C1,302,1893646801.000,0x5d,,,311,480,2,2
C1,303,1893646802.000,0x49,,,,,,
C1,304,1893648600.000,0x48,,,311,480,,
C1,305,1893648601.000,0x5d,,,311,480,2,2
C1,306,1893648602.000,0x49,,,,,,
C2,307,1893657600.000,0x48,,,311,480,,
C2,308,1893657601.000,0x5d,,,311,480,2,2
C2,309,1893657602.000,0x49,,,,,,
C2,310,1893659400.000,0x48,,,311,480,,
C2,311,1893659401.000,0x5d,,,311,480,2,2
C2,312,1893659402.000,0x49,,,,,,
C2,313,1893661200.000,0x48,,,311,480,,
C2,314,1893661201.000,0x5d,,,311,480,2,2
C2,315,1893661202.000,0x49,,,,,,
C2,316,1893663000.000,0x48,,,311,480,,
C2,317,1893663001.000,0x5d,,,311,480,2,2
C2,318,1893663002.000,0x49,,,,,,
C2,319,1893664800.000,0x48,,,311,480,,
C2,320,1893664801.000,0x5d,,,311,480,2,2
C2,321,1893664802.000,0x49,,,,,,
C2,322,1893666600.000,0x48,,,311,480,,
C2,323,1893666601.000,0x5d,,,311,480,2,2
C2,324,1893666602.000,0x49,,,,,,
C2,325,1893668400.000,0x48,,,311,480,,
C2,326,1893668401.000,0x5d,,,311,480,2,2
C2,327,1893668402.000,0x49,,,,,,
C2,328,1893670200.000,0x48,,,311,480,,
C2,329,1893670201.000,0x5d,,,311,480,2,2
C2,330,1893670202.000,0x49,,,,,,
C2,331,1893672000.000,0x48,,,311,480,,
C2,332,1893672001.000,0x5d,,,311,480,2,2
C2,333,1893672002.000,0x49,,,,,,
C2,334,1893673800.000,0x48,,,311,480,,
C2,335,1893673801.000,0x5d,,,311,480,2,2
C2,336,1893673802.000,0x49,,,,,,
C2,337,1893675600.000,0x48,,,311,480,,
C2,338,1893675601.000,0x5d,,,311,480,2,2
C2,339,1893675602.000,0x49,,,,,,
C2,340,1893677400.000,0x48,,,311,480,,
C2,341,1893677401.000,0x5d,,,311,480,2,2
C2,342,1893677402.000,0x49,,,,,,
C2,343,1893682140.000,0x55,2,,,,,
C2,344,1893682141.200,0x56,,,310,240,,
C2,345,1893682142.000,0x55,1,,,,,
C2,346,1893682143.100,0x56,,,310,240,,
C2,347,1893682185.000,0x55,2,,,,,
C2,348,1893682186.200,0x56,,,310,240,,
C2,349,1893682187.000,0x55,1,,,,,
C2,350,1893682188.100,0x56,,,310,240,,
C2,351,1893682232.000,0x55,1,,,,,
C2,352,1893682233.100,0x56,,,310,240,,
C2,353,1893682277.000,0x55,1,,,,,
C2,354,1893682278.100,0x56,,,310,240,,
C2,355,1893682325.000,0x44,,15,,,,
C2,356,1893682350.000,0x5d,,,311,480,2,2
C2,357,1893683100.000,0x55,2,,,,,
C2,358,1893683101.200,0x56,,,310,240,,
C2,359,1893683102.000,0x55,1,,,,,
C2,360,1893683103.100,0x56,,,310,240,,
C2,361,1893683145.000,0x55,2,,,,,
C2,362,1893683146.200,0x56,,,310,240,,
C2,363,1893683147.000,0x55,1,,,,,
C2,364,1893683148.100,0x56,,,310,240,,
C2,365,1893683192.000,0x55,1,,,,,
C2,366,1893683193.100,0x56,,,310,240,,
C2,367,1893683237.000,0x55,1,,,,,
C2,368,1893683238.100,0x56,,,310,240,,
C2,369,1893683285.000,0x44,,15,,,,
C2,370,1893683310.000,0x5d,,,311,480,2,2
C2,371,1893690000.000,0x48,,,311,480,,
C2,372,1893690001.000,0x5d,,,311,480,2,2
C2,373,1893690002.000,0x49,,,,,,
C2,374,1893691800.000,0x48,,,311,480,,
C2,375,1893691801.000,0x5d,,,311,480,2,2
C2,376,1893691802.000,0x49,,,,,,
C2,377,1893693600.000,0x48,,,311,480,,
C2,378,1893693601.000,0x5d,,,311,480,2,2
C2,379,1893693602.000,0x49,,,,,,
C2,380,1893695400.000,0x48,,,311,480,,
C2,381,1893695401.000,0x5d,,,311,480,2,2
C2,382,1893695402.000,0x49,,,,,,
C2,383,1893697200.000,0x48,,,311,480,,
C2,384,1893697201.000,0x5d,,,311,480,2,2
C2,385,1893697202.000,0x49,,,,,,
C2,386,1893699000.000,0x48,,,311,480,,
C2,387,1893699001.000,0x5d,,,311,480,2,2
C2,388,1893699002.000,0x49,,,,,,
C2,389,1893700800.000,0x48,,,311,480,,
C2,390,1893700801.000,0x5d,,,311,480,2,2
C2,391,1893700802.000,0x49,,,,,,
C2,392,1893702600.000,0x48,,,311,480,,
C2,393,1893702601.000,0x5d,,,311,480,2,2
C2,394,1893702602.000,0x49,,,,,,
C2,395,1893704400.000,0x48,,,311,480,,
C2,396,1893704401.000,0x5d,,,311,480,2,2
C2,397,1893704402.000,0x49,,,,,,
C2,398,1893706200.000,0x48,,,311,480,,
C2,399,1893706201.000,0x5d,,,311,480,2,2
C2,400,1893706202.000,0x49,,,,,,
C2,401,1893708000.000,0x48,,,311,480,,
C2,402,1893708001.000,0x5d,,,311,480,2,2
C2,403,1893708002.000,0x49,,,,,,
C2,404,1893709800.000,0x48,,,311,480,,
C2,405,1893709801.000,0x5d,,,311,480,2,2
C2,406,1893709802.000,0x49,,,,,,
C2,407,1893711600.000,0x48,,,311,480,,
C2,408,1893711601.000,0x5d,,,311,480,2,2
C2,409,1893711602.000,0x49,,,,,,
C2,410,1893713400.000,0x48,,,311,480,,
C2,411,1893713401.000,0x5d,,,311,480,2,2
C2,412,1893713402.000,0x49,,,,,,
C2,413,1893715200.000,0x48,,,311,480,,
C2,414,1893715201.000,0x5d,,,311,480,2,2
C2,415,1893715202.000,0x49,,,,,,
C2,416,1893717000.000,0x48,,,311,480,,
C2,417,1893717001.000,0x5d,,,311,480,2,2
C2,418,1893717002.000,0x49,,,,,,
C2,419,1893718800.000,0x48,,,311,480,,
C2,420,1893718801.000,0x5d,,,311,480,2,2
C2,421,1893718802.000,0x49,,,,,,
C2,422,1893720600.000,0x48,,,311,480,,
C2,423,1893720601.000,0x5d,,,311,480,2,2
C2,424,1893720602.000,0x49,,,,,,
C2,425,1893722400.000,0x48,,,311,480,,
C2,426,1893722401.000,0x5d,,,311,480,2,2
C2,427,1893722402.000,0x49,,,,,,
C2,428,1893724200.000,0x48,,,311,480,,
C2,429,1893724201.000,0x5d,,,311,480,2,2
C2,430,1893724202.000,0x49,,,,,,
C2,431,1893726000.000,0x48,,,311,480,,
C2,432,1893726001.000,0x5d,,,311,480,2,2
C2,433,1893726002.000,0x49,,,,,,
C2,434,1893727800.000,0x48,,,311,480,,
C2,435,1893727801.000,0x5d,,,311,480,2,2
C2,436,1893727802.000,0x49,,,,,,
C2,437,1893729600.000,0x48,,,311,480,,
C2,438,1893729601.000,0x5d,,,311,480,2,2
C2,439,1893729602.000,0x49,,,,,,
C2,440,1893731400.000,0x48,,,311,480,,
C2,441,1893731401.000,0x5d,,,311,480,2,2
C2,442,1893731402.000,0x49,,,,,,
C2,443,1893733200.000,0x48,,,311,480,,
C2,444,1893733201.000,0x5d,,,311,480,2,2
C2,445,1893733202.000,0x49,,,,,,
C2,446,1893735000.000,0x48,,,311,480,,
C2,447,1893735001.000,0x5d,,,311,480,2,2
C2,448,1893735002.000,0x49,,,,,,
C3,449,1893736800.000,0x48,,,311,480,,
C3,450,1893736801.000,0x5d,,,311,480,2,2
C3,451,1893736802.000,0x49,,,,,,
C3,452,1893740400.000,0x48,,,311,480,,
C3,453,1893740401.000,0x5d,,,311,480,2,2
C3,454,1893740402.000,0x49,,,,,,
C3,455,1893744000.000,0x48,,,311,480,,
C3,456,1893744001.000,0x5d,,,311,480,2,2
C3,457,1893744002.000,0x49,,,,,,
C3,458,1893747600.000,0x48,,,311,480,,
C3,459,1893747601.000,0x5d,,,311,480,2,2
C3,460,1893747602.000,0x49,,,,,,
C3,461,1893751200.000,0x48,,,311,480,,
C3,462,1893751201.000,0x5d,,,311,480,2,2
C3,463,1893751202.000,0x49,,,,,,
C3,464,1893754800.000,0x48,,,311,480,,
C3,465,1893754801.000,0x5d,,,311,480,2,2
C3,466,1893754802.000,0x49,,,,,,
C3,467,1893758400.000,0x48,,,311,480,,
C3,468,1893758401.000,0x5d,,,311,480,2,2
C3,469,1893758402.000,0x49,,,,,,
C3,470,1893762000.000,0x48,,,311,480,,
C3,471,1893762001.000,0x5d,,,311,480,2,2
C3,472,1893762002.000,0x49,,,,,,
C3,473,1893765600.000,0x48,,,311,480,,
C3,474,1893765601.000,0x5d,,,311,480,2,2
C3,475,1893765602.000,0x49,,,,,,
C3,476,1893769200.000,0x48,,,311,480,,
C3,477,1893769201.000,0x5d,,,311,480,2,2
C3,478,1893769202.000,0x49,,,,,,
C3,479,1893772800.000,0x48,,,311,480,,
C3,480,1893772801.000,0x5d,,,311,480,2,2
C3,481,1893772802.000,0x49,,,,,,
C3,482,1893776400.000,0x48,,,311,480,,
C3,483,1893776401.000,0x5d,,,311,480,2,2
C3,484,1893776402.000,0x49,,,,,,
C3,485,1893780000.000,0x48,,,311,480,,
C3,486,1893780001.000,0x5d,,,311,480,2,2
C3,487,1893780002.000,0x49,,,,,,
C3,488,1893783600.000,0x48,,,311,480,,
C3,489,1893783601.000,0x5d,,,311,480,2,2
C3,490,1893783602.000,0x49,,,,,,
C3,491,1893787200.000,0x48,,,311,480,,
C3,492,1893787201.000,0x5d,,,311,480,2,2
C3,493,1893787202.000,0x49,,,,,,
C3,494,1893790800.000,0x48,,,311,480,,
C3,495,1893790801.000,0x5d,,,311,480,2,2
C3,496,1893790802.000,0x49,,,,,,
C3,497,1893794400.000,0x48,,,311,480,,
C3,498,1893794401.000,0x5d,,,311,480,2,2
C3,499,1893794402.000,0x49,,,,,,
C3,500,1893798000.000,0x48,,,311,480,,
C3,501,1893798001.000,0x5d,,,311,480,2,2
C3,502,1893798002.000,0x49,,,,,,
C3,503,1893801600.000,0x48,,,311,480,,
C3,504,1893801601.000,0x5d,,,311,480,2,2
C3,505,1893801602.000,0x49,,,,,,
C3,506,1893805200.000,0x48,,,311,480,,
C3,507,1893805201.000,0x5d,,,311,480,2,2
C3,508,1893805202.000,0x49,,,,,,
C3,509,1893808800.000,0x48,,,311,480,,
C3,510,1893808801.000,0x5d,,,311,480,2,2
C3,511,1893808802.000,0x49,,,,,,
C3,512,1893812400.000,0x48,,,311,480,,
C3,513,1893812401.000,0x5d,,,311,480,2,2
C3,514,1893812402.000,0x49,,,,,,
C3,515,1893816000.000,0x48,,,311,480,,
C3,516,1893816001.000,0x5d,,,311,480,2,2
C3,517,1893816002.000,0x49,,,,,,
C3,518,1893819600.000,0x48,,,311,480,,
C3,519,1893819601.000,0x5d,,,311,480,2,2
C3,520,1893819602.000,0x49,,,,,,
C3,521,1893823200.000,0x48,,,311,480,,
C3,522,1893823201.000,0x5d,,,311,480,2,2
C3,523,1893823202.000,0x49,,,,,,
C3,524,1893826800.000,0x48,,,311,480,,
C3,525,1893826801.000,0x5d,,,311,480,2,2
C3,526,1893826802.000,0x49,,,,,,
C3,527,1893830400.000,0x48,,,311,480,,
C3,528,1893830401.000,0x5d,,,311,480,2,2
C3,529,1893830402.000,0x49,,,,,,
C3,530,1893834000.000,0x48,,,311,480,,
C3,531,1893834001.000,0x5d,,,311,480,2,2
C3,532,1893834002.000,0x49,,,,,,
C3,533,1893837600.000,0x48,,,311,480,,
C3,534,1893837601.000,0x5d,,,311,480,2,2
C3,535,1893837602.000,0x49,,,,,,
C3,536,1893841200.000,0x48,,,311,480,,
C3,537,1893841201.000,0x5d,,,311,480,2,2
C3,538,1893841202.000,0x49,,,,,,
C3,539,1893844800.000,0x48,,,311,480,,
C3,540,1893844801.000,0x5d,,,311,480,2,2
C3,541,1893844802.000,0x49,,,,,,
C3,542,1893848400.000,0x48,,,311,480,,
C3,543,1893848401.000,0x5d,,,311,480,2,2
C3,544,1893848402.000,0x49,,,,,,
C3,545,1893852000.000,0x48,,,311,480,,
C3,546,1893852001.000,0x5d,,,311,480,2,2
C3,547,1893852002.000,0x49,,,,,,
C3,548,1893855600.000,0x48,,,311,480,,
C3,549,1893855601.000,0x5d,,,311,480,2,2
C3,550,1893855602.000,0x49,,,,,,
C3,551,1893859200.000,0x48,,,311,480,,
C3,552,1893859201.000,0x5d,,,311,480,2,2
C3,553,1893859202.000,0x49,,,,,,
C3,554,1893862800.000,0x48,,,311,480,,
C3,555,1893862801.000,0x5d,,,311,480,2,2
C3,556,1893862802.000,0x49,,,,,,
C3,557,1893866400.000,0x48,,,311,480,,
C3,558,1893866401.000,0x5d,,,311,480,2,2
C3,559,1893866402.000,0x49,,,,,,
C3,560,1893870000.000,0x48,,,311,480,,
C3,561,1893870001.000,0x5d,,,311,480,2,2
C3,562,1893870002.000,0x49,,,,,,
C3,563,1893873600.000,0x48,,,311,480,,
C3,564,1893873601.000,0x5d,,,311,480,2,2
C3,565,1893873602.000,0x49,,,,,,
C3,566,1893877200.000,0x48,,,311,480,,
C3,567,1893877201.000,0x5d,,,311,480,2,2
C3,568,1893877202.000,0x49,,,,,,
C3,569,1893880800.000,0x48,,,311,480,,
C3,570,1893880801.000,0x5d,,,311,480,2,2
C3,571,1893880802.000,0x49,,,,,,
C3,572,1893884400.000,0x48,,,311,480,,
C3,573,1893884401.000,0x5d,,,311,480,2,2
C3,574,1893884402.000,0x49,,,,,,
C3,575,1893888000.000,0x48,,,311,480,,
C3,576,1893888001.000,0x5d,,,311,480,2,2
